month,rate_mm_hr,mm,year,mon
1998-01-01,0.04023768708501493,29.936839191251103,1998,1
1998-02-01,0.15461136725758431,103.89883879709666,1998,2
1998-03-01,0.1422642280782315,105.84458569020423,1998,3
1998-04-01,0.1295542244472939,93.2790416020516,1998,4
1998-05-01,0.11128033766836472,82.79257122526334,1998,5
1998-06-01,0.21238851972925507,152.91973420506366,1998,6
1998-07-01,0.5649921497256636,420.3541593958937,1998,7
1998-08-01,0.7605636673642698,565.8593685190167,1998,8
1998-09-01,0.3305717402201378,238.0116529584992,1998,9
1998-10-01,0.3543262989756514,263.61876643788463,1998,10
1998-11-01,0.009414540509440258,6.778469166796985,1998,11
1998-12-01,0.007174904897967737,5.338129244087996,1998,12
1999-01-01,0.08269512935266395,61.525176238381974,1999,1
1999-02-01,0.06073785727103794,40.8158400861375,1999,2
1999-03-01,0.021154727632809157,15.739117358810013,1999,3
1999-04-01,0.006800848093130965,4.896610627054295,1999,4
1999-05-01,0.09135952042940813,67.97148319947965,1999,5
1999-06-01,0.27367313972162255,197.04466059956826,1999,6
1999-07-01,0.5208807772969026,387.53529830889556,1999,7
1999-08-01,0.40321752470193556,299.99383837824007,1999,8
1999-09-01,0.472707526646665,340.3494191855988,1999,9
1999-10-01,0.07704561607230766,57.321938357796896,1999,10
1999-11-01,0.00920233191119293,6.625678976058909,1999,11
1999-12-01,0.011713099296727054,8.714545876764928,1999,12
2000-01-01,0.07573463609501334,56.346569254689925,2000,1
2000-02-01,0.14333947360604027,99.76427362980404,2000,2
2000-03-01,0.07734904972494483,57.54769299535895,2000,3
2000-04-01,0.03676625812878645,26.471705852726245,2000,4
2000-05-01,0.12858606001528808,95.66802865137433,2000,5
2000-06-01,0.4761433418636456,342.8232061418248,2000,6
2000-07-01,0.5439377140928092,404.6896592850501,2000,7
2000-08-01,0.47787615610614254,355.53986014297004,2000,8
2000-09-01,0.20946257882524513,150.8130567541765,2000,9
2000-10-01,0.026177194975979767,19.475833062128945,2000,10
2000-11-01,0.02246778403373688,16.17680450429055,2000,11
2000-12-01,0.009240822816893752,6.875172175768951,2000,12
2001-01-01,0.12209038294823352,90.83524491348574,2001,1
2001-02-01,0.08023599343482544,53.9185875882027,2001,2
2001-03-01,0.11309097679730643,84.13968673719599,2001,3
2001-04-01,0.10526168331718627,75.78841198837412,2001,4
2001-05-01,0.22750370064533174,169.26275328012682,2001,5
2001-06-01,0.2971975144723705,213.9822104201068,2001,6
2001-07-01,0.6154984972571962,457.930881959354,2001,7
2001-08-01,0.39872604664628314,296.6521787048347,2001,8
2001-09-01,0.09212552311373441,66.33037664188878,2001,9
2001-10-01,0.037798729970665884,28.122255098175415,2001,10
2001-11-01,0.01768376531378272,12.732311025923558,2001,11
2001-12-01,0.026848877756056908,19.97556505050634,2001,12
2002-01-01,0.110152740141076,81.95363866496055,2002,1
2002-02-01,0.22161255687058296,148.92363821703174,2002,2
2002-03-01,0.18909309885609493,140.68526554893464,2002,3
2002-04-01,0.12557118036209805,90.4112498607106,2002,4
2002-05-01,0.11240636372671076,83.6303346126728,2002,5
2002-06-01,0.13202488992794326,95.05792074811914,2002,6
2002-07-01,0.2379370195215513,177.02514252403418,2002,7
2002-08-01,0.535105196837906,398.11826644740205,2002,8
2002-09-01,0.3888438511382427,279.9675728195347,2002,9
2002-10-01,0.05653599243517923,42.06277837177335,2002,10
2002-11-01,0.01979648257665345,14.253467455190485,2002,11
2002-12-01,0.02107359176069725,15.678752269958755,2002,12
2003-01-01,0.11986604963175417,89.1803409260251,2003,1
2003-02-01,0.16895032688665815,113.53461966783428,2003,2
2003-03-01,0.15759106250341634,117.24775050254175,2003,3
2003-04-01,0.08501174663141806,61.20845757462101,2003,4
2003-05-01,0.06348270689922528,47.23113393302361,2003,5
2003-06-01,0.157674827036614,113.5258754663621,2003,6
2003-07-01,0.6268166031383667,466.3515527349449,2003,7
2003-08-01,0.5009700114303042,372.7216885041463,2003,8
2003-09-01,0.39074037346030344,281.33306889141846,2003,9
2003-10-01,0.03579215916955781,26.62936642215101,2003,10
2003-11-01,0.02779131130761087,20.00974414147983,2003,11
2003-12-01,0.0450515921791007,33.51838458125093,2003,12
2004-01-01,0.12733964087720287,94.74069281263894,2004,1
2004-02-01,0.0751223013665639,52.28512175112848,2004,2
2004-03-01,0.06986791392880672,51.9817279630322,2004,3
2004-04-01,0.10455328938174216,75.27836835485435,2004,4
2004-05-01,0.12071306226003617,89.81051832146692,2004,5
2004-06-01,0.24939924905541694,179.5674593199002,2004,6
2004-07-01,0.5163615783640972,384.1730143028883,2004,7
2004-08-01,0.5485363984686581,408.1110804606816,2004,8
2004-09-01,0.1479060679876284,106.49236895109246,2004,9
2004-10-01,0.13560500758976038,100.89012564678171,2004,10
2004-11-01,0.0224404840822118,16.157148539192498,2004,11
2004-12-01,0.026708606213501778,19.87120302284532,2004,12
2005-01-01,0.12669898859016362,94.26404751108174,2005,1
2005-02-01,0.1803103947472703,121.16858527016562,2005,2
2005-03-01,0.12110331284135722,90.10086475396977,2005,3
2005-04-01,0.04615044704788047,33.228321874473934,2005,4
2005-05-01,0.05101411877189743,37.95450436629169,2005,5
2005-06-01,0.08160453921988536,58.755268238317456,2005,6
2005-07-01,0.8800047049940818,654.7235005155968,2005,7
2005-08-01,0.37306597706573197,277.5610869369046,2005,8
2005-09-01,0.6023445792549897,433.68809706359264,2005,9
2005-10-01,0.08443582367898927,62.820252817168026,2005,10
2005-11-01,0.017814710495350765,12.82659155665255,2005,11
2005-12-01,0.03149783906841515,23.43439226690087,2005,12
2006-01-01,0.11830678850273399,88.0202506460341,2006,1
2006-02-01,0.07300525908170866,49.059534102908216,2006,2
2006-03-01,0.16429157169024886,122.23292933754516,2006,3
2006-04-01,0.1021067448500457,73.51685629203291,2006,4
2006-05-01,0.21103549053692724,157.01040495947387,2006,5
2006-06-01,0.12106639084142863,87.16780140582861,2006,6
2006-07-01,0.6344812993151294,472.0540866904563,2006,7
2006-08-01,0.4392277856242509,326.7854725044427,2006,8
2006-09-01,0.18914655186251694,136.1855173410122,2006,9
2006-10-01,0.054699875147173865,40.69670710949735,2006,10
2006-11-01,0.030498899013118284,21.959207289445164,2006,11
2006-12-01,0.052592795471699864,39.1290398309447,2006,12
2007-01-01,0.0519203500199199,38.628740414820406,2007,1
